close,ema,datetime,exchange_code,high,low,open,stock_code,volume,ema-open,ema-close
18113.1,18129.928571428572,2023-01-02 09:15:00,NSE,18153.2,18112.15,18133.65,NIFTY,13102178,-3.721428571428987,16.828571428573923
18131.0,18130.0306122449,2023-01-02 09:20:00,NSE,18139.2,18096.6,18115.75,NIFTY,9487986,14.280612244900112,-0.9693877550998877
18101.85,18127.346744412054,2023-01-02 09:25:00,NSE,18132.95,18091.35,18130.05,NIFTY,10408934,-2.703255587945023,25.496744412055705
18122.85,18126.918483039477,2023-01-02 09:30:00,NSE,18128.7,18086.5,18101.9,NIFTY,8446724,25.01848303947554,4.068483039478451
18146.65,18128.797675130954,2023-01-02 09:35:00,NSE,18146.65,18112.4,18121.2,NIFTY,4779432,7.597675130953576,-17.852324869047152
18150.2,18130.83599178515,2023-01-02 09:40:00,NSE,18150.3,18135.0,18146.0,NIFTY,4529268,-15.164008214851492,-19.36400821485222
18163.35,18133.932563996084,2023-01-02 09:45:00,NSE,18167.45,18140.35,18149.35,NIFTY,3721029,-15.41743600391419,-29.41743600391419
18165.3,18136.9199388536,2023-01-02 09:50:00,NSE,18167.65,18156.85,18164.25,NIFTY,2203662,-27.330061146400112,-28.380061146399385
18160.3,18139.14661134373,2023-01-02 09:55:00,NSE,18171.95,18158.45,18164.95,NIFTY,3675020,-25.803388656269817,-21.153388656268362
18162.9,18141.408838834803,2023-01-02 10:00:00,NSE,18166.9,18154.7,18160.35,NIFTY,3124299,-18.94116116519581,-21.49116116519872
18166.1,18143.760377993392,2023-01-02 10:05:00,NSE,18173.85,18159.5,18163.75,NIFTY,3464378,-19.989622006607533,-22.339622006606078
18162.9,18145.58319913688,2023-01-02 10:10:00,NSE,18170.15,18160.3,18166.4,NIFTY,7372544,-20.816800863121898,-17.316800863121898
18162.55,18147.199084933367,2023-01-02 10:15:00,NSE,18165.3,18156.1,18159.4,NIFTY,5322220,-12.20091506663448,-15.350915066632297
18163.8,18179.897996691456,2023-01-03 09:15:00,NSE,18191.7,18153.3,18189.6,NIFTY,12901046,-9.702003308542771,16.0979966914565
18173.35,18179.274377958936,2023-01-03 09:20:00,NSE,18179.75,18155.35,18164.75,NIFTY,5766377,14.524377958936384,5.924377958937839
18161.1,18177.543484819987,2023-01-03 09:25:00,NSE,18174.6,18149.8,18174.6,NIFTY,5929194,2.943484819988953,16.443484819988953
18187.45,18178.48696245618,2023-01-03 09:30:00,NSE,18192.9,18161.25,18161.25,NIFTY,5336784,17.236962456179754,-8.963037543820974
18184.35,18179.045346984163,2023-01-03 09:35:00,NSE,18197.65,18182.7,18187.1,NIFTY,3427351,-8.054653015835356,-5.304653015835356
18193.7,18180.441028223766,2023-01-03 09:40:00,NSE,18195.7,18184.65,18184.8,NIFTY,2405109,-4.358971776233375,-13.25897177623483
18204.0,18182.684739821503,2023-01-03 09:45:00,NSE,18209.0,18188.6,18193.55,NIFTY,4037086,-10.8652601784961,-21.31526017849683
18206.1,18184.91476460041,2023-01-03 09:50:00,NSE,18208.8,18199.1,18202.85,NIFTY,3153571,-17.935235399589146,-21.185235399589146
18209.4,18187.24669178132,2023-01-03 09:55:00,NSE,18210.5,18198.35,18204.95,NIFTY,3855990,-17.703308218679012,-22.15330821867974
18203.8,18188.823197325957,2023-01-03 10:00:00,NSE,18212.45,18202.9,18209.45,NIFTY,3504085,-20.626802674043574,-14.97680267404212
18224.55,18192.22574996158,2023-01-03 10:05:00,NSE,18226.2,18201.7,18203.3,NIFTY,3226503,-11.07425003841854,-32.32425003841854
